Key,Type,Desc,Chinese,English [en-US],Chinese (Taiwan),Japanese,Korean
union_make_over,Text,,是否确定转让会长权限？,Are you sure to transfer the president's authority?,是否確定轉讓會長權限？,会長権限の譲渡が確定するか。,?? ?? ??? ?????
union_material_not,Text,,材料不足，无法创建公会,Not enough material to create guild,材料不足，無法創建公會,材料不足でギルドが作れない,??? ???? ??? ?? ? ????
union_member,Text,,成员：,Members:,成員：,メンバー:,??:
union_member_list,Text,,成员列表,Member list,成員列錶,メンバー一覧,?? ??
union_member_name,Text,,成员名称,Member name,成員名稱,メンバー名,?? ??
union_name,Text,,公会名称,The guild name,公會名稱,ギルド名,?? ??
union_name_search,Text,,输入公会名称检索,Enter the guild name for search,輸入公會名稱檢索,ギルド名を入力して検索,????? ???? ??????
union_news,Text,,公会动态,The guild dynamic,公會動態,ギルド?ムーブメント,?? ??
union_not_accrod_condition1,Text,,未找到符合条件的公会哦~,No eligible guild found,未找到符合條件的公會哦~,条件に合うギルドが見つからないよ~,??? ?? ? ????
union_not_accrod_condition2,Text,,没有符合条件的公会请核实输入是否正确,"If there are no eligible guilds, please verify that the input is correct",沒有符合條件的公會請核實輸入是否正確,条件を満たすギルドがない場合は入力が正しいか確認してください,??? ?? ??? ?? ?? ??? ??? ???? ??????
union_please_leave,Text,,请离公会,Please from the guild,請離公會,ギルドを離れてください,??? ????
union_please_leave_guild,Text,,是否将此玩家请离公会？,Would you please remove this player from the guild?,是否將此玩家請離公會？,このプレイヤーをギルドから離してくださいか?,? ????? ???? ?????????
union_race,Text,,种族,race,種族,人種,??
union_send_message,Text,,发送消息,Send a message,發送消息,メッセージを送る,??? ???
union_set,Text,,设置,Set up the,設置,設置,??
union_state,Text,,状态,state,狀態,状态,??
union_the_transfer,Text,,转让会长,"The transfer,",轉讓會長,会長を譲り渡す,??? ????
union_txt_001,Text,,待审核,To audit,待審核,審査待ち,??? ????
union_txt_002,Text,,副会长,Vice President of,副會長,副会長,???
union_txt_003,Text,,骨干,The backbone,骨幹,バックボーン,??
union_txt_004,Text,,修改信息,Modify the information,修改信息,情報を修正する,?? ??
union_txt_005,Text,,加入公会,Join the guild,加入公會,ギルドに加入する,??? ????
union_txt_006,Text,,修改成功,Modify Success,修改成功,修正に成功する,????? ??????
union_txt_007,Text,,修改失败,Modify Faild,修改失敗,失敗を修正する,?? ??
unlock_arena_system,Text,,您已解锁竞技场,You have unlocked the arena,您已解鎖競技場,あなたは競技場のロックを解除しました,??? ?? ??????
unlock_dayily_mission,Text,,您已解锁日常任务,You have unlocked daily tasks,您已解鎖日常任務,あなたは日常のタスクを解除しました,?? ??? ??? ?????
unlock_friend_system,Text,,您已解锁好友系统,You have unlocked the friend system,您已解鎖好友繫統,友達システムをロック解除しました,??? ?? ??????
unlock_team_system,Text,,您已解锁组队系统,You have unlocked the platoon system,您已解鎖組隊繫統,チームシステムを解除しました,? ???? ??? ?????
unlock_union_system,Text,,您已解锁工会系统,You have unlocked the guild system,您已解鎖工會繫統,労働組合のシステムを解除しました,?? ???? ??? ??????
wear,Text,,穿戴,Wear,穿戴,服装,???
yes,Text,,同意,agree,同意,同意,??
zones,Text,,副本,copy,副本,コピー,??
combine,Text,,合成,Combine,合成,コピー,??
